SiteFactID,SiteSourceID,Name,UDSNumber,Phone,Fax,AdminPhone,Site,Hours,MigrantHealth,CommunityHealth,SchoolBased,PublicHousing,Homeless,Address,City,State,ZIP,LocationSetting,LocationType,HealthCenterType,OperationalSchedule,OperatingCalendar,CountyFIPS,County,StateCountyFIPS,StateFIPS,State_Name,HHSRegion,BPHCAssignedNumber,SiteOpenDate,SiteAddtoScopeDate,lat,lon,filter_$
1090,36A400B3-77F7-46BE-845E-19099FDFD23A,Madison Middle School,,305-696-7759,305-805-1715,305-805-1700,www.jtchc.org,40,N,Y,N,N,N,3400 NW 87th St,Miami,FL,33147-3944,School,Seasonal,Service Delivery Site,Part-Time,Seasonal,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-005844,39172,39172,25.853066,-80.252914,1
1114,C79F261A-8C0C-4C76-A0AF-5A275187F7A3,Liberty Community Health Care Inc.Spring Street Campus,,850-643-2415,850-643-5689,850-643-2415,http://www.doh.state.fl.us/CHD/Calhoun/,50,Y,Y,N,N,N,10971 NW Spring St,Bristol,FL,32321,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,77,Liberty,12077,12,Florida,Region IV,BPS-H80-008701,39387,39993,30.43453,-84.971672,1
1129,F64E23F2-791E-4516-9111-9029CD3CCE47,River Landings OB/GYN,,941-776-4000,,941-776-4000,www.mcrhs.org,45,Y,Y,N,N,N,5460 63rd St E,Bradenton,FL,34203-7808,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,81,Manatee,12081,12,Florida,Region IV,BPS-H80-009097,12/31/1899,40049,27.444427,-82.481017,1
1168,2DBBF224-7577-4178-80DB-B4DA9B72DDBB,WEST PALM BEACH HLTH CENTER,04174C,561-514-5300,561-514-5540,561-514-5305,www.pbchd.com/centers/center_west_palm_beach.html,51,Y,Y,N,N,Y,1150 45th St,West Palm Beach,FL,33407-2361,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,99,Palm Beach,12099,12,Florida,Region IV,BPS-H80-003965,37530,37634,26.753129,-80.069909,1
1187,950BB768-CA3B-4B33-9258-A5F6669E9C9A,HENRY H. FILER MIDDLE SCHOOL,043818F,305-822-6601,305-822-2063,305-424-3130,unkn,40,N,Y,N,N,N,531 W 29th St,Hialeah,FL,33012-5711,School,Seasonal,Service Delivery Site,Full-Time,Seasonal,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-003613,38887,38887,25.848025,-80.292948,1
1219,2A7BB89D-A428-442D-982B-5B4A04917BC2,Premier Community HealthCare Group Inc - Adminstration,,352-518-2000,352-567-5193,352-518-2000 x9000,premierhc.org,40,Y,Y,N,N,N,37912 Church Ave,Dade City,FL,33525-4207,Unknown,Permanent,Administrative,Full-Time,Year-Round,101,Pasco,12101,12,Florida,Region IV,BPS-H80-009623,40391,40391,28.362967,-82.188684,1
1220,1AC5C228-7A4B-4B86-A361-9DB405ED00B7,Manatee Pediatrics Westgate OB/GYN,,941-776-4000,941-776-4000,941-776-4000,,44,Y,Y,N,N,N,5225 Manatee Ave W,Bradenton,FL,34209-3742,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,81,Manatee,12081,12,Florida,Region IV,BPS-H80-009595,,40386,27.495874,-82.613327,1
1224,B517EDA0-7AD7-4B68-86A1-36E4AB0331FA,Perrine Elementary,,305-235-2442,305-254-2011,305-252-4853,www.chisouthfl.org,40,Y,Y,N,N,Y,8851 SW 168th St,Village Of Palmetto Bay,FL,33157-4549,School,Permanent,Service Delivery Site,Full-Time,Year-Round,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-007638,39678,39678,25.614305,-80.335916,1
1315,49DBC5AD-B887-4A36-AF1C-9CB5FD834A23,TFHC #16 - North Tampa,041281J,813-866-0950,813-865-0158,813-866-0930,http://www.tampachc.com/,58,N,Y,N,N,Y,1502 E Fowler Ave,Tampa,FL,33612-5416,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,57,Hillsborough,12057,12,Florida,Region IV,BPS-H80-003415,39310,39310,28.054627,-82.442614,1
1324,58B0CB10-FBF7-4212-BD3B-E7B9A5C39CE7,Heart of Florida Health Center at the Centers,,352-291-5555,,352-732-6599,,24,N,Y,N,N,N,5664 SW 60th Ave,Ocala,FL,34474-5677,All Other Clinic Types,Permanent,Service Delivery Site,Part-Time,Year-Round,83,Marion,12083,12,Florida,Region IV,BPS-H80-010860,40714,40784,29.130768,-82.218394,1
1338,DC334D41-F962-49A2-B38C-CCA453824008,NORTH FLORIDA MEDICAL CENTERS INC.,40380,850-385-4494,850-298-6050,850-385-4494,http://www.nfmc.org,,N,Y,N,N,N,535 John Knox Rd,Tallahassee,FL,32303-4117,Unknown,Permanent,Administrative,Full-Time,Year-Round,73,Leon,12073,12,Florida,Region IV,BPS-H80-004535,34790,34790,30.473085,-84.289942,1
1343,97F4B499-52D2-4BCB-A8F1-ED17C962E7D5,TURNING POINT/BRIDGES OF AMERICA,041294E,954-781-1400,954-831-2707,954-355-4953,browardhealth.org,8,N,N,N,N,Y,400 SW 2nd St,Pompano Beach,FL,33060-6822,All Other Clinic Types,Permanent,Service Delivery Site,Part-Time,Year-Round,11,Broward,12011,12,Florida,Region IV,BPS-H80-007388,35004,35004,26.229239,-80.131483,1
1385,7E31C880-FE9A-4816-A660-2A615577157F,Charles Drew Middle School,,305-694-2362,305-805-1715,305-805-1700,www.jtchc.org,40,N,Y,N,N,N,1801 NW 60th St,Miami,FL,33142-2434,School,Seasonal,Service Delivery Site,Part-Time,Seasonal,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-005979,39172,39172,25.82985,-80.227056,1
1388,4E862191-D98B-4FA9-A3A9-050C295BBDAE,MARTIN L. KING JR.- ANNEX,04032H,305-248-4334,305-245-1161,305-252-4853,www.chisouthfl.org,65,Y,Y,N,N,Y,820 SW 1st St,Homestead,FL,33030-6904,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-000187,34705,34705,25.468565,-80.48742,1
1419,DB95E636-56A3-46EA-BE65-6F2896CCF1B4,TFHC #24 - University Area,,813-307-8058,,813-866-0930,,40,N,Y,N,N,Y,13601 N 22nd St,Tampa,FL,33613-4427,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,57,Hillsborough,12057,12,Florida,Region IV,BPS-H80-010683,40725,40751,28.070304,-82.434549,1
1433,F626EE0A-3F98-4ABC-865E-50F86D440F9B,TFHC # 23 - North Nebraska,,813-866-0930,,813-866-0930 x1311,,40,N,Y,N,N,Y,8108 N Nebraska Ave,Tampa,FL,33604,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,57,Hillsborough,12057,12,Florida,Region IV,BPS-H80-011205,,40967,28.021922,-82.451277,1
1446,4F5FB43E-4D46-4852-AEAB-446377181716,RIVERVIEW FOOT &amp; ANKLE SPEC.,04431W,941-751-7352,941-751-8142,941-776-4000,WWW.MCRHS.ORG,40,Y,Y,N,N,N,212 2nd Ave E,Bradenton,FL,34208-1010,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,81,Manatee,12081,12,Florida,Region IV,BPS-H80-001544,38355,38355,27.497442,-82.560557,1
1465,6C5948B7-249E-46CA-B24A-AF8128EEFB6E,Project Health Inc.,40250,352-793-5900,352-793-6269,352-793-5900,www.langleymedical.com,40,N,Y,N,N,N,1425 S Us 301,Sumterville,FL,33585-5141,All Other Clinic Types,Permanent,Administrative,Full-Time,Year-Round,119,Sumter,12119,12,Florida,Region IV,BPS-H80-003845,27770,27770,28.73557,-82.068912,1
1477,593DB8D7-16D9-49F2-AB3E-3829864CDD26,Sebastian - At the Villages,,772-257-8224,,772-571-1986,,,Y,Y,N,N,N,910 Village Sq,Sebastian,FL,32958-4081,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,61,Indian River,12061,12,Florida,Region IV,BPS-H80-010836,40679,40772,27.787046,-80.480243,1
1504,5B214113-3F45-4518-AB0E-7836083BBB99,St. Lucie Women & Children Center,,,772-335-4054,772-333-7400,www.fchcinc.org,40,Y,Y,N,N,N,1871 SE Tiffany Ave Ste 200,Port Saint Lucie,FL,34952-7585,All Other Clinic Types,Permanent,Service Delivery Site,Unknown,Year-Round,111,St. Lucie,12111,12,Florida,Region IV,BPS-H80-000030,37267,39519,27.291124,-80.294582,1
1507,8A7F0FB2-E9FF-4A4D-B70F-2822889BB885,Delray Beach Health Center,,,,561-274-3100,,,Y,Y,N,N,Y,225 S Congress Ave,Delray Beach,FL,33445-4616,All Other Clinic Types,Permanent,Service Delivery Site,Unknown,Year-Round,99,Palm Beach,12099,12,Florida,Region IV,BPS-H80-008020,33562,39659,26.457328,-80.093551,1
1525,4B58A8E4-5363-4C01-9F03-B19A37473C48,Orchard Villa Elementary School,,305-696-7759,305-805-1715,305-805-1700,www.jtchc.org,40,N,Y,N,N,N,5720 NW 13th Ave,Miami,FL,33142-2604,School,Seasonal,Service Delivery Site,Part-Time,Seasonal,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-006966,39172,39172,25.827746,-80.218458,1
1541,5C0AAFA2-2092-4446-ACF5-01CF5F79192A,HO PROGRAM OFFICE - LITTLE HOUSE,041294X,954-527-6042,954-831-2707,954-527-6042,WWW.BROWARDHEALTH.ORG/BODY.CFM?ID=846,40,N,N,N,N,Y,1101 W Broward Blvd,Fort Lauderdale,FL,33312-1638,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,11,Broward,12011,12,Florida,Region IV,BPS-H80-000124,36951,36951,26.122114,-80.156365,1
1566,EFA079A0-C0D3-4F22-B6C8-D8CAF646E435,Palms Medical Group - Starke,,352-463-2374,,352-463-4501,,40,N,Y,N,N,N,550 Georgia St,Starke,FL,32091-1816,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,7,Bradford,12007,12,Florida,Region IV,BPS-H80-009999,40422,40436,29.955057,-82.110732,1
1570,1015ABE8-0B55-43FC-A234-FB339F4C73B2,WAKULLA MEDICAL CENTER INC.,04038B,850-984-4735,850-984-4742,850-385-4494,http://www.nfmc.org,40,N,Y,N,N,N,1328 Coastal Hwy,Panacea,FL,32346-2151,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,129,Wakulla,12129,12,Florida,Region IV,BPS-H80-005556,34790,34790,30.027501,-84.390321,1
1578,2544FA27-324E-437E-AD09-6AE277480050,George A. Dame Community Health Center - Lecanto North Campus,,,,352-249-9258,,,N,Y,N,N,N,1804 W Marc Knighton Ct,Lecanto,FL,34461,All Other Clinic Types,Permanent,Service Delivery Site,Unknown,Year-Round,17,Citrus,12017,12,Florida,Region IV,BPS-H80-008292,39814,39873,28.90455,-82.478439,1
1648,8E326D33-3EA0-432E-88CA-7E54BD8C757C,COLLIER HEALTH SERVICES INC.,41700,239-850-1754,239-658-3051,239-658-3000,www.collier.org,,Y,Y,N,N,N,1454 Madison Ave W,Immokalee,FL,34142-2200,All Other Clinic Types,Permanent,Administrative,Full-Time,Year-Round,21,Collier,12021,12,Florida,Region IV,BPS-H80-002785,26304,26304,26.442422,-81.432685,1
1670,7A1EAE1A-4A76-4101-8F6C-D3146859B5CD,MIAMI EDISON SENIOR HIGH SCHOOL,04033O,305-754-7044,305-754-6932,305-805-1700,WWW.JTCHC.ORG,40,N,Y,N,N,N,6161 NW 5th Ct Rm A-,Miami,FL,33127-1259,School,Permanent,Service Delivery Site,Full-Time,Year-Round,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-004658,37174,37174,25.831946,-80.205424,1
1678,1D4688A7-CB68-43D2-BD57-9C19897F4B6C,CFHC WAUCHULA CLINIC,04021B,863-773-2111,863-773-3284,863-452-3003,http://www.cfhconline.org/,51.5,Y,Y,N,N,N,204 E Palmetto St,Wauchula,FL,33873-2732,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,49,Hardee,12049,12,Florida,Region IV,BPS-H80-003402,29595,29595,27.549083,-81.810669,1
1679,86A9747C-397A-45F0-8197-610775A0967F,Dade City Womens and Behavioral Health Center,,352-518-2000,352-567-5455,352-518-2000,WWW.PREMIERHC.ORG,44,Y,Y,N,N,N,37944 Pasco Ave Ste B,Dade City,FL,33525-4202,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,101,Pasco,12101,12,Florida,Region IV,BPS-H80-007625,39622,39622,28.363832,-82.188009,1
1714,B6B212FE-DD71-474B-B933-8BD7CB244418,CALDER RACE COURSE,041294H,305-625-1311,954-831-2707,305-625-1311,browardhealth.org,8,N,N,N,N,Y,21001 NW 27th Ave,Miami Gardens,FL,33056-1461,All Other Clinic Types,Seasonal,Service Delivery Site,Part-Time,Seasonal,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-006702,36465,36475,25.968314,-80.246655,1
1757,943E69CE-CA52-4EB0-A13D-1C2596279E8E,HOPE PROG. MEDICAL OUTREACH VAN,042063B,904-359-0457,904-359-0926,904-394-6069,www.sulzbachercenter.org,40,N,N,N,N,Y,611 E Adams St,Jacksonville,FL,32202-2847,All Other Clinic Types,Mobile Van,Service Delivery Site,Full-Time,Year-Round,31,Duval,12031,12,Florida,Region IV,BPS-H80-000647,36892,36892,30.326041,-81.649788,1
1764,6079943A-B372-4765-A065-CDA123465402,COMMUNITY HEALTH CENTER-BAY CTY,044245B,850-747-5272,850-872-4131,850-872-4128,www.pancarefl.org,55,N,Y,N,N,N,707 Jenks Ave,Panama City,FL,32401-2574,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,5,Bay,12005,12,Florida,Region IV,BPS-H80-004558,38582,38932,30.160939,-85.662632,1
1835,D2A78256-E474-4ED3-85AE-AAC093666FCC,Premier Community HealthCare Group Inc,45500,352-518-2000,352-567-5193,352-518-2000,www.premierhc.org,,Y,Y,N,N,N,37944 Pasco Ave Ste A,Dade City,FL,33525-4202,Unknown,Permanent,Administrative,Full-Time,Year-Round,101,Pasco,12101,12,Florida,Region IV,BPS-H80-003719,29065,29065,28.363832,-82.188009,1
1935,9F324AE7-A999-4688-A516-EBADF29D0125,Hialeah Skills Center,,305-888-3398,305-888-2746,305-888-3398,,40,N,Y,N,N,N,60 E 3rd St Ste 101-11,Hialeah,FL,33010-4917,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-009362,35977,40245,25.824497,-80.280246,1
1936,2DD5B5EB-2208-4EC8-98B3-AF7D4AA7D8B3,SOUTH FORT MYERS MEDICAL OFFICE,04168R,239-344-2307,239-267-6219,239-278-3600,www.fhcswf.org,43,Y,Y,N,N,Y,9800 S Healthpark Dr Ste 110,Fort Myers,FL,33908-3630,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,71,Lee,12071,12,Florida,Region IV,BPS-H80-003843,38899,39189,26.503012,-81.914854,1
1983,63ED39F4-4807-4720-8FCA-FD7984F174D8,LAKELAND PRIMARY CARE,04021H,863-413-8600,863-413-8650,863-452-3003,http://www.cfhconline.org/,61,Y,Y,N,N,N,936 E Parker St,Lakeland,FL,33801-1968,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,105,Polk,12105,12,Florida,Region IV,BPS-H80-005606,39387,39388,28.05141,-81.945738,1
1987,F1EE30D3-4B4B-47C5-927E-4B7FC101684D,WHOLE CHILD PEDIATRICS,04431AC,941-366-2273,941-953-6500,941-776-4000,WWW.MCRHS.ORG,44,Y,Y,N,N,N,8936 77th Ter E,Lakewood Ranch,FL,34202-6419,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,81,Manatee,12081,12,Florida,Region IV,BPS-H80-001687,39085,39085,27.400735,-82.449923,1
1993,7647BAC0-92FA-45BE-9A6A-C3EE9228318C,Treasure Coast Community Health - Pine Street,,772-257-8224,,772-571-1986,,,Y,Y,N,N,N,44 N Pine St,Fellsmere,FL,32948-5944,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,61,Indian River,12061,12,Florida,Region IV,BPS-H80-011220,40826,40969,27.769498,-80.600157,1
2003,51C9EE22-68F5-42C8-9F7E-D161850FBB1F,HOUSE OF HOPE,041294F,954-524-8989,954-831-2707,954-524-8989,browardhealth.org,40,N,N,N,N,Y,908 Arpeika St,Fort Lauderdale,FL,33312-1601,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,11,Broward,12011,12,Florida,Region IV,BPS-H80-004634,33543,33543,26.121264,-80.153527,1
2026,526EBD99-31E2-427B-8CF4-62F3EB34F33B,Community Care Family Healthcare Center Building D,,941-776-4000,,941-776-4000,,,Y,Y,N,N,N,707 N 12th Ave,Arcadia,FL,34266-8752,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,27,DeSoto,12027,12,Florida,Region IV,BPS-H80-008634,12/31/1899,39993,27.222693,-81.846015,1
2050,8C14528D-1F32-4C50-B76D-653324B938F6,PAHOKEE COMMUNITY HEALTH CENTER,04037L,561-924-6100,561-924-3405,561-844-9443,www.fchcinc.org,46,Y,Y,N,N,N,170 S Barfield Hwy Ste 103,Pahokee,FL,33476-1868,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,99,Palm Beach,12099,12,Florida,Region IV,BPS-H80-002248,39293,39052,26.822634,-80.661228,1
2053,989816B3-8658-4E46-8289-54010016D6EB,LILLIE C. EVANS ELEMENTARY,04033M,305-694-2366,305-694-2369,305-805-1700,WWW.jtchc.org,40,N,Y,N,N,N,1895 NW 75th St,Miami,FL,33147-6136,School,Seasonal,Service Delivery Site,Full-Time,Seasonal,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-001871,36404,36404,25.843187,-80.229095,1
2061,AD412F29-0B70-4699-A99F-B91DD19C65C9,F.S. TUCKER ELEMENTARY SCHOOL,04163B,305-351-1316,305-446-5409,305-351-1316,www.helenbentleyfamilyhealthcenter.com,40,N,Y,N,N,N,3500 37th Douglas Rd,Miami,FL,,School,Permanent,Service Delivery Site,Full-Time,Year-Round,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-004075,37630,37630,25.807703,-80.256468,1
2068,DCA8348B-47DC-481F-94CF-3E25BACFE1C4,JAMES E SCOTT SATELLITE,04033A,305-835-8122,305-694-2083,305-805-1700,WWW.jtchc.org,40,N,Y,N,N,N,7200 NW 22nd Ave,Miami,FL,33147-6222,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-001391,30691,30691,25.84025,-80.233449,1
2074,D512F0A9-50E8-4871-9E6E-E01149A002EC,NCCHC Spring Hill Campus,,352-540-6800,,352-540-6800 x82114,www.hernandohealth.org,50,N,Y,N,N,N,7551 Forest Oaks Blvd,Spring Hill,FL,34606,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,53,Hernando,12053,12,Florida,Region IV,BPS-H80-010858,40812,40784,28.490931,-82.591348,1
2133,1454555B-7BAC-4FCD-A87D-FEE05FAC188F,GREENVILLE HILLS ACADEMY,04038I,850-948-1200,850-948-1330,850-948-1200,http://www.greatschools.net/florida/greenville/7060-Greenville-Hills-Academy/,1,N,Y,N,N,N,742 SW Greenville Hills Rd,Greenville,FL,32331-3107,All Other Clinic Types,Intermittent,Service Delivery Site,Full-Time,Year-Round,79,Madison,12079,12,Florida,Region IV,BPS-H80-005630,36982,36982,30.451819,-83.618332,1
2149,B02E11B1-2AFC-4C91-89EA-1E61A2DC7F2B,PINELLAS CO BD OF CO COMM/HOMLESS PGM,42040,727-464-8416,727-464-8454,727-464-8416,www.pinellascounty.org,40,N,N,N,N,Y,2189 Cleveland St Ste 266,Clearwater,FL,33765-3242,All Other Clinic Types,Permanent,Administrative,Full-Time,Year-Round,103,Pinellas,12103,12,Florida,Region IV,BPS-H80-000714,32118,32118,27.96536,-82.746807,1
2174,983AB0FC-4327-43C1-8766-49D2BCBB512A,EAST NAPLES MEDICAL CENTER,04170B,239-775-2220,239-658-3051,239-658-3025,WWW.COLLIER.ORG,42,Y,Y,N,N,N,1755 Heritage Trl Ste 601,Naples,FL,34112-7600,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,21,Collier,12021,12,Florida,Region IV,BPS-H80-001661,34342,34342,26.137572,-81.734527,1
2193,05C61454-44DF-4D05-979F-9E450E3CCDF4,COPE SOUTH SCHOOL(SCHOOL BASED),04032F,305-253-8073,305-255-7927,305-252-4853,www.chisouthfl.org,40,Y,Y,N,N,Y,10225 SW 147th Ter,Miami,FL,33176-7744,School,Permanent,Service Delivery Site,Full-Time,Year-Round,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-003456,33612,33612,25.632611,-80.358777,1
2197,C9304ACD-5923-4F93-9603-FD0B61EA9F9E,I.M. SULZBACHER DENTAL CLINIC,042063A,904-394-8060,904-355-1333,904-394-8060,www.sulzbachercenter.org,40,N,N,N,N,Y,611 E Adams St,Jacksonville,FL,32202-2847,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,Full-Time,Year-Round,31,Duval,12031,12,Florida,Region IV,BPS-H80-005595,35436,37196,30.326041,-81.649788,1
2222,BD326E1F-BCDB-47BA-9710-81E48C092F6B,Lawton Chiles Administration,,941-708-7627,,941-776-4000,,40,Y,Y,N,N,N,1505 26th Ave E,Bradenton,FL,34208-7707,All Other Clinic Types,Permanent,Administrative,Full-Time,Year-Round,81,Manatee,12081,12,Florida,Region IV,BPS-H80-010153,,40451,27.477,-82.546252,1
2223,93AE316F-C42F-42F2-A696-D11753974DCA,DeLand Medical Center,,386-738-2422,,386-749-9449,,,N,Y,N,N,N,844 W Plymouth Ave,Deland,FL,32720-3284,All Other Clinic Types,Permanent,Service Delivery Site,Unknown,Year-Round,127,Volusia,12127,12,Florida,Region IV,BPS-H80-000059,39539,39534,29.042581,-81.320137,1
2229,C174ED06-C9C1-4C06-81A7-62E8D2683CDA,SOUTHEAST FAMILY HEALTH CARE CTR,04431H,941-751-8100,941-751-8127,941-776-4000,WWW.MCRHS.ORG,44,Y,Y,N,N,N,919 53rd Ave E,Bradenton,FL,34203-4801,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,81,Manatee,12081,12,Florida,Region IV,BPS-H80-002187,35438,35438,27.447668,-82.55443,1
2251,66B3B90C-3CD1-4ADB-A589-A688B8C04B4D,CRESCENT CITY FAMILY MEDICAL CENTER,04034A,386-698-1232,386-698-4154,386-328-0108,,40,Y,Y,N,N,N,306 Union Ave,Crescent City,FL,32112-4432,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,107,Putnam,12107,12,Florida,Region IV,BPS-H80-003625,27760,28135,29.461,-81.536393,1
2296,6DD24D17-4C05-42E2-AE6A-C4F1007F49B2,Freeport Clinic,,850-872-4128,850-872-4131,850-872-4128,www.pancarefl.org,40,N,Y,N,N,N,479 State Highway 20 E,Freeport,FL,32439-3931,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,131,Walton,12131,12,Florida,Region IV,BPS-H80-009000,40057,39995,30.49426,-86.127944,1
2305,788B63B7-5B68-4F72-97D4-C60D41749FA1,MAE WALTERS ELEMENTARY SBHC,043818K,305-822-4600,305-827-4465,305-424-3130,unkn,40,N,Y,N,N,N,650 W 33rd St,Hialeah,FL,33012-5113,School,Seasonal,Service Delivery Site,Full-Time,Seasonal,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-004392,38887,38887,25.851622,-80.29538,1
2323,D0F1D362-2CE1-425B-9F3A-9758322BF203,CAMPBELL DRIVE MIDDLE SBHC,04032V,305-248-7911,305-254-2011,305-252-4853,www.chisouthfl.org,40,Y,Y,N,N,Y,900 NE 23rd Ave,Homestead,FL,33033-4700,School,Permanent,Service Delivery Site,Full-Time,Year-Round,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-003329,39162,39162,25.47751,-80.446603,1
2359,B2B1BB5B-1D9E-47B2-9824-42D1F9D86BFD,Lake Stevens Middle School,,305-620-1294,,305-424-2100,,40,N,Y,N,N,N,18484 NW 48th Pl,Opa Locka,FL,33055-2950,School,Seasonal,Service Delivery Site,Full-Time,Seasonal,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-010453,40413,40630,25.941682,-80.281387,1
2362,D8C31C90-0A49-485E-B61B-956B54C12768,NATURE COAST COMMUNITY HEALTH CENTER,414900,352-540-6800 x82114,352-754-4132,352-540-6800 x82114,WWW.HERNANDOHEALTH.ORG,52,N,Y,N,N,N,300 S Main St,Brooksville,FL,34601-3320,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,53,Hernando,12053,12,Florida,Region IV,BPS-H80-003284,38490,38614,28.5521,-82.387869,1
2407,3936657E-48D2-4857-BC57-4691B6A677ED,CROSS CITY REHABILITATION,04038N,352-498-2005,352-498-2006,352-498-2005,http://www.hospital-data.com/hospitals/CROSS-CITY-REHAB-&amp;amp;-HLTH-CARE-CROSS-C318.html,2,N,Y,N,N,N,583 NE 351 Hwy,Cross City,FL,32628-3108,All Other Clinic Types,Intermittent,Service Delivery Site,Full-Time,Year-Round,29,Dixie,12029,12,Florida,Region IV,BPS-H80-001595,36982,36982,29.641805,-83.123241,1
2412,6E2B781B-2117-470F-967C-E765E68DB5E4,BROWARD PARTNERSHIP FOR HOMELESS,041294K,954-779-3990,954-831-2707,954-779-3990,bphi.org,40,N,N,N,N,Y,920 NW 7th Ave,Fort Lauderdale,FL,33311-7229,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,11,Broward,12011,12,Florida,Region IV,BPS-H80-005114,36161,36161,26.135296,-80.150912,1
2477,FD4C7654-60E5-4BF2-94E0-C484C34BE45F,AVOCADO ELEMENTARY,,305-247-4942,305-254-2011,305-252-4853,www.chisouthfl.org,40,Y,Y,N,N,Y,16969 SW 294th St,Homestead,FL,33030-2541,School,Permanent,Service Delivery Site,Full-Time,Year-Round,86,Miami-Dade,12086,12,Florida,Region IV,BPS-H80-007655,39678,39678,25.493695,-80.466516,1
2489,07292453-C73E-4F5D-92D7-C5181489CB3F,SUNCOAST COMMUNITY HEALTH CENTERS INC.,41750,813-349-7800,813-349-7861,813-349-7568,suncoast-chc.org,40,Y,Y,N,N,N,2814 14th Ave SE,Ruskin,FL,33570-5471,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,57,Hillsborough,12057,12,Florida,Region IV,BPS-H80-004368,28307,29955,27.705727,-82.395752,1
2499,389A337A-B5D7-46DA-851C-EEE02914F489,TFHC #14 - Florida Avenue,041281F,813-490-1957,813-490-1958,813-866-0930,http://www.tampachc.com/,40,N,Y,N,N,Y,1514 N Florida Ave Ste 300,Tampa,FL,33602-2602,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,57,Hillsborough,12057,12,Florida,Region IV,BPS-H80-005279,36170,36170,27.958651,-82.459493,1
2529,9885683E-EACB-4F9B-BB6C-EA401E597923,Family Medical Center at the Shores,04025D,352-680-0324,352-680-0173,352-793-5900,www.langleymedical.com,40,N,Y,N,N,N,9305 SE Maricamp Rd,Ocala,FL,34472-2343,All Other Clinic Types,Permanent,Service Delivery Site,Full-Time,Year-Round,83,Marion,12083,12,Florida,Region IV,BPS-H80-005178,39600,39359,29.102865,-82.011064,1
